"","pid","case","pweight","score","max","EAP","SD.EAP"
"1",1,1,1,8,10,1.8843235985525,0.582873114955292
"2",2,2,1,1,4,-0.274300534144591,0.881621938818268
"3",3,3,1,1,3,0.486905040109891,0.96800806682395
"4",4,4,1,4,5,1.68580304147816,0.74911060238754
"5",5,5,1,0,5,-1.09458480245831,1.02514613617468
"6",6,6,1,2,3,0.74223358836189,0.921951312185853
"7",7,7,1,2,5,0.449687129753918,0.77910189990572
"8",8,8,1,0,5,-1.09458480245831,1.02514613617468
"9",9,9,1,0,8,-1.46326673672703,0.961729111355781
"10",10,10,1,1,4,0.0100416019320926,0.933814896698155
"11",11,11,1,0,8,-1.46326673672703,0.961729111355781
