"","x"
"1",0.878724155284221
"2",0.878447812629581
"3",0.856781275655236
"4",0.87342094550527
"5",0.873724730291528
"6",0.853261539292882
"7",0.8533648668043
"8",0.873245318589884
"9",0.853729938371591
"10",0.870929437153276
"11",0.857719891784865
"12",0.870851284297715
"13",0.860797400137291
"14",0.861180382351437
"15",0.87354781610914
"16",0.873412124237891
"17",0.871140874830307
"18",0.870690485767355
"19",0.870757367377374
"20",0.870910100069798
"21",0.871012215994019
"22",0.873409004518754
"23",0.873450178596454
"24",0.873291133153835
"25",0.87317398999608
"26",0.873139811972664
"27",0.873101476006405
"28",0.873199395890667
"29",0.87307341417958
"30",0.873099270661634
"31",0.872443053164171
"32",0.872972867847903
"33",0.874183017599949
"34",0.873121895131957
"35",0.873590018297351
"36",0.8730720979842
"37",0.873845748066842
"38",0.872526146298456
"39",0.87250718200828
"40",0.872710815119094
"41",0.873244411022393
"42",0.873818628903548
"43",0.871680957048215
"44",0.871917650922385
"45",0.873349292478365
"46",0.873045690230392
"47",0.872868441983296
"48",0.873086307755372
"49",0.873373213975384
"50",0.87320350189339
"51",0.87307647252746
