,5919806fc15d4a3a2199e659:Legt uit dat er anders onmatig gedrag ontstond,"5919806fc15d4a3a2199e659:Noemt voorbeelden van onmatig gedrag (overmatig drankgebruik, ongeremde seksualiteit)",5919806fc15d4a3a2199e659:Legt uit wie de regenten waren,5919806fc15d4a3a2199e659:Noemt dat de winst van het toneel naar liefdadige instellingen ging,5919806fc15d4a3a2199e65a:Noemt de opkomst van galante jongeren uit de bovenlaag,5919806fc15d4a3a2199e65a:Noemt de gouden eeuw,5919806fc15d4a3a2199e65a:Noemt dat jongeren met deze moraal moesten leven,5919806fc15d4a3a2199e65a:Legt uit hoe de lyriek de jongeren onderwees in de verhouding tussen platonische en zinnelijke liefde,5919806fc15d4a3a2199e65b:Noemt de paradox,5919806fc15d4a3a2199e65b:Noemt de antithese,5919806fc15d4a3a2199e65b:Noemt dat de liefdesklacht gericht was aan een ideaalbeeld,5919806fc15d4a3a2199e65b:Noemt dat dit ideaalbeeld onbereikbaar was,"5919806fc15d4a3a2199e65b:Legt uit dat de onbereikbaarheid de liefde juist beter maakt, omdat de platonische liefde belangrijker is dan de lichamelijke liefde",5919806fc15d4a3a2199e65b:Legt uit dat dit paradoxaal is,5919806fc15d4a3a2199e65c:Noemt dat de verschillende klassieke genres opnieuw toegepast werden,5919806fc15d4a3a2199e65c:Noemt dat de thema's uit de klassieke mythologie opnieuw werden gebruikt,5919806fc15d4a3a2199e65c:Legt uit dat de klassieke werken eerst vertaald werden (translatio),5919806fc15d4a3a2199e65c:Legt uit dat deze werken nagebootst werden (imitatio),5919806fc15d4a3a2199e65c:Legt uit dat deze werken overtroffen moesten worden (aemulatio),"5919806fc15d4a3a2199e65d:Noemt dat mensen zich onderscheidden door taal te gebruiken, waarbij dieren dat niet deden",5919806fc15d4a3a2199e65d:Noemt hierbij grammatica,5919806fc15d4a3a2199e65d:Noemt hierbij retorica,"5919806fc15d4a3a2199e65d:Noemt dat mensen zich onderscheidden door kennis te hebben over goed en kwaad, terwijl dieren dit niet hadden (en handelden op basis van instinct)",5919806fc15d4a3a2199e65d:Noemt dat deze kennis geleverd werd door poezie,5919806fc15d4a3a2199e65d:Noemt dat deze kennis geleverd werd door voorbeelden uit de geschiedenis,5919806fc15d4a3a2199e65e:Noemt dat een tragedie hooggeplaatste personages bevat en een komedie laaggeplaatste personages,5919806fc15d4a3a2199e65f:Noemt dat volgens de calvinisten de wereld gods schepping is,5919806fc15d4a3a2199e65f:Noemt dat daarom parallellen nooit toevallig kunnen zijn,5919806fc15d4a3a2199e65f:Legt uit dat daarom analogieen belangrijk waren in de emblematiek,5919806fc15d4a3a2199e660:Noemt dat het verzet tegen Spanje gericht was,5919806fc15d4a3a2199e660:Noemt Karel V,5919806fc15d4a3a2199e660:Noemt Fillips II,5919806fc15d4a3a2199e660:Noemt centralisatie van katholicisme,5919806fc15d4a3a2199e660:Noemt de geloofsvervolging,5919806fc15d4a3a2199e660:Noemt dat protestantisme of calvinisme vervolgd werd,5919806fc15d4a3a2199e661:Noemt dat de volta zich tussen het octaaf en het sextet bevindt,5919806fc15d4a3a2199e661:Legt uit dat de volta en dramatische wending is tussen deze twee delen,5919806fc15d4a3a2199e662:Noemt dat de Rederijkerskamers uit vooraanstaande dichters bestond,5919806fc15d4a3a2199e662:Legt uit dat ze een opinierende rol moesten hebben,5919806fc15d4a3a2199e662:Noemt hierbij dat deze opinies over de renaissance gingen,5919806fc15d4a3a2199e662:Noemt hierbij dat deze opinies over het humanisme gingen,5919806fc15d4a3a2199e662:Noemt hierbij dat deze opinies over het protestantisme gingen,5919806fc15d4a3a2199e662:Legt uit dat deze rol inhield dat ze moesten beleren,5919806fc15d4a3a2199e662:Legt uit dat deze rol inhield dat ze moesten moraliseren,5919806fc15d4a3a2199e662:Legt uit dat deze rol inhield dat ze moesten kritiek moesten leveren
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,,,,
1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
3,,,,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,,,
4,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
5,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
7,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
8,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,
10,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
11,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
13,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,,,,,,,,,,,,,,,0,0,1,1,1,1,0,0,1,0,0,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
17,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
18,,,,,,,,,,,,,,,1,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19,0,0,0,0,,,,,,,,,,,0,0,1,1,1,,,,,,,,0,0,0,,,,,,,0,1,1,1,0,0,0,0,0,0
20,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
21,,,,,0,0,0,0,,,,,,,1,0,0,1,1,,,,,,,0,,,,,,,,,,0,0,1,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
