,5922debbc15d4a349457ce55,5922debbc15d4a349457ce56,5922debbc15d4a349457ce57,5922debbc15d4a349457ce58,5922debbc15d4a349457ce59,5922debbc15d4a349457ce5a
0,-1,-2,2,-3,-1,1
1,1,-1,2,1,0,1
2,2,1,1,0,2,2
3,2,1,2,2,2,2
4,2,1,2,2,1,2
5,0,-1,0,-2,0,0
6,2,-1,2,-1,2,1
7,4,1,4,1,3,4
8,2,0,2,0,0,1
9,3,-1,-1,1,1,0
10,2,2,2,2,2,2
11,2,2,2,1,2,2
12,3,2,2,2,2,2
13,2,-1,-1,0,2,1
14,1,1,1,1,2,2
15,3,-2,1,2,2,3
16,2,0,0,-1,2,2
17,3,-2,2,0,2,2
18,2,2,-2,2,2,2
19,3,2,3,1,1,2
20,0,0,0,0,0,0
21,2,0,2,0,2,1
22,4,2,3,2,4,4
