,5919806fc15d4a3a2199e5e5,5919806fc15d4a3a2199e5e7,5919806fc15d4a3a2199e5ea,5919806fc15d4a3a2199e5ed,5919806fc15d4a3a2199e5f1,5919806fc15d4a3a2199e5f5,5919806fc15d4a3a2199e5f8,5919806fc15d4a3a2199e5fb,5919806fc15d4a3a2199e5fd,5919806fc15d4a3a2199e5fe,5919806fc15d4a3a2199e602,5919806fc15d4a3a2199e605,5919806fc15d4a3a2199e608,5919806fc15d4a3a2199e60a,5919806fc15d4a3a2199e616,5919806fc15d4a3a2199e617,5919806fc15d4a3a2199e618,5919806fc15d4a3a2199e61b,5919806fc15d4a3a2199e61c,5919806fc15d4a3a2199e621,5919806fc15d4a3a2199e623,5919806fc15d4a3a2199e624,5919806fc15d4a3a2199e625,5919806fc15d4a3a2199e628,5919806fc15d4a3a2199e62a,5919806fc15d4a3a2199e62f,5919806fc15d4a3a2199e631,5919806fc15d4a3a2199e632,5919806fc15d4a3a2199e633,5919806fc15d4a3a2199e635,5919806fc15d4a3a2199e636,5919806fc15d4a3a2199e637,5919806fc15d4a3a2199e639,5919806fc15d4a3a2199e63a,5919806fc15d4a3a2199e63c,5919806fc15d4a3a2199e63d,5919806fc15d4a3a2199e63e,5919806fc15d4a3a2199e640,5919806fc15d4a3a2199e641,5919806fc15d4a3a2199e642,5919806fc15d4a3a2199e645,5919806fc15d4a3a2199e647,5919806fc15d4a3a2199e649,5919806fc15d4a3a2199e64b,5919806fc15d4a3a2199e64d,5919806fc15d4a3a2199e64f,5919806fc15d4a3a2199e650,5919806fc15d4a3a2199e651,5919806fc15d4a3a2199e653
0,,,,,,,,,,,,,,,,,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,,,0,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,
4,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,0,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
10,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,0,0,,0,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,
12,0,,,,,,,,,,,,,,0,,,0,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,,,
15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
17,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,0,,,,,,,,,
18,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,
19,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,
20,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
21,,,,,1,,,,,,1,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,
22,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
