,5922debac15d4a349457cdd1:Maarten Luther,5922debac15d4a349457cdd1:Johannes Calvijn,5922debac15d4a349457cdd4:Door koningen,5922debac15d4a349457cdda:Door Willem van Oranje,5922debac15d4a349457cddb:Tot de Tachtigjarige Oorlog,5922debac15d4a349457cde2:Stedelijke cultuur,"5922debac15d4a349457cde7:Als boers, onbeschaafd gedrag",5922debac15d4a349457cdf3:De Oude Kamer (D'Eglentier),5922debac15d4a349457cdf3:Wit Lavendel (Brabantse Kamer),5922debac15d4a349457cdf7:Een opini&euml;rende rol hebben,5922debac15d4a349457cdfb:Op de kunst en idee&euml;n uit de Klassieke Oudheid,5922debac15d4a349457cdfc:Translatio (vertaling),5922debac15d4a349457cdfc:Imitatio (nabootsing),5922debac15d4a349457cdfc:Aemulatio (overtreffing),5922debac15d4a349457cdff:Pronken met taalschoonheden,5922debac15d4a349457cdff:Pronken met mythologie,5922debac15d4a349457cdff:Belerend zijn,5922debac15d4a349457cdff:Diepzinnig zijn,5922debac15d4a349457ce00:Emblematiek,5922debac15d4a349457ce00:Sonnet,5922debac15d4a349457ce03:Menswetenschappen,5922debac15d4a349457ce03:Natuurwetenschappen,5922debac15d4a349457ce04:Taal,5922debac15d4a349457ce04:Ethiek,5922debac15d4a349457ce09:Zedelijke verbetering,5922debac15d4a349457ce09:Godsdienstvrijheid,5922debac15d4a349457ce09:Zelfkennis,5922debac15d4a349457ce0a:Spaanse koningen,5922debac15d4a349457ce0a:Calvinisten,5922debac15d4a349457ce0b:Reizen,5922debac15d4a349457ce0b:Boekdrukkunst,5922debac15d4a349457ce0c:Van kerkelijke en adellijke mecenas (opdrachtgevers),5922debac15d4a349457ce0f:Door de Romein Horatius,5922debac15d4a349457ce14:Het Wilhelmus,"5922debac15d4a349457ce18:Alles is Gods schepping, en daarom kunnen parallellen nooit toevallig zijn",5922debac15d4a349457ce1a:Sinne- en Minnebeelden,5922debac15d4a349457ce1c:Platonische liefde,5922debac15d4a349457ce1c:Lichamelijke liefde,5922debac15d4a349457ce1e:Op het petrarkisme,5922debac15d4a349457ce1f:De Italische renaissancedichter Petrarka,5922debac15d4a349457ce20:Van literaire beelden en conventies,5922debac15d4a349457ce23:De platonische liefde,5922debac15d4a349457ce25:Door de literaire elite,5922debac15d4a349457ce28:Octaaf,5922debac15d4a349457ce28:Volta/wending,5922debac15d4a349457ce28:Sextet,5922debac15d4a349457ce2a:P.C. Hooft,5922debac15d4a349457ce2e:Naar liefdadige instellingen,5922debbc15d4a349457ce33:In een hooggeplaatste positie,5922debbc15d4a349457ce36:De tragedies van de Romein Seneca,5922debbc15d4a349457ce38:Op de handelingsstructuur,5922debbc15d4a349457ce39:Eenheid van tijd,5922debbc15d4a349457ce39:Eenheid van plaats,5922debbc15d4a349457ce39:Eenheid van handeling,5922debbc15d4a349457ce40:De klucht,5922debbc15d4a349457ce41:De klucht was korter,5922debbc15d4a349457ce43:Door primaire levensdriften,5922debbc15d4a349457ce44:De klucht van de koe,5922debbc15d4a349457ce44:Geschreven door G.A. Bredero
0,,,1,1,1,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,
2,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,,,,0,,,,,,,,,,,,,,,,0,1
4,1,1,,,,1,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
5,,,1,,,,,,,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,,,,,,
6,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,0,,,,,,,,,,,,,,,1,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,0,0,0,,,,,,,,,,,,,
8,,,,,,,,0,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,0,0,0,,,,,
9,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,
