,5922debac15d4a349457cdd1:Maarten Luther,5922debac15d4a349457cdd1:Johannes Calvijn,5922debac15d4a349457cdd3:De Nederlanden,5922debac15d4a349457cdd4:Door koningen,5922debac15d4a349457cdd9:Verzet van de Nederlanden,5922debac15d4a349457cddb:Tot de Tachtigjarige Oorlog,5922debac15d4a349457cddf:Een Europees handelscentrum,5922debac15d4a349457cde6:Gewenst en ongewenst gedrag,"5922debac15d4a349457cde7:Als boers, onbeschaafd gedrag",5922debac15d4a349457cde9:Door G.A. Bredero,5922debac15d4a349457cdeb:Tot conflicten,5922debac15d4a349457cded:Alcoholisme en ongeremde seksualiteit.,5922debac15d4a349457cdef:Een strenge moraal,5922debac15d4a349457cdf0:Op de jongeren,5922debac15d4a349457cdf3:De Oude Kamer (D'Eglentier),5922debac15d4a349457cdf3:Wit Lavendel (Brabantse Kamer),5922debac15d4a349457cdf5:G.A. Bredero,5922debac15d4a349457cdf5:P.C. Hooft,5922debac15d4a349457cdf7:Een opini&euml;rende rol hebben,5922debac15d4a349457cdf8:Protestantisme,5922debac15d4a349457cdf8:Renaissance,5922debac15d4a349457cdf8:Humanisme,5922debac15d4a349457cdfb:Op de kunst en idee&euml;n uit de Klassieke Oudheid,5922debac15d4a349457ce02:Verdraagzaamheid,5922debac15d4a349457ce03:Menswetenschappen,5922debac15d4a349457ce03:Natuurwetenschappen,5922debac15d4a349457ce04:Taal,5922debac15d4a349457ce04:Ethiek,5922debac15d4a349457ce07:Sto&iuml;cisme,5922debac15d4a349457ce0a:Spaanse koningen,5922debac15d4a349457ce0a:Calvinisten,5922debac15d4a349457ce0c:Van kerkelijke en adellijke mecenas (opdrachtgevers),5922debac15d4a349457ce12:Naar de actualiteit,5922debac15d4a349457ce14:Het Wilhelmus,5922debac15d4a349457ce16:Een algemene waarheid,5922debac15d4a349457ce19:Jacob Cats,5922debac15d4a349457ce1f:De Italische renaissancedichter Petrarka,5922debac15d4a349457ce24:Aan een onbereikbaar ideaalbeeld,5922debac15d4a349457ce25:Door de literaire elite,5922debac15d4a349457ce26:Voor zelfbeheersing ten opzichte van voorechtelijk geslachtsverkeer,5922debac15d4a349457ce27:Uit veertien versregels,5922debac15d4a349457ce2b:Het uitbeelden van de stedelijke gedragscode,5922debac15d4a349457ce2c:Het publiek,5922debac15d4a349457ce2e:Naar liefdadige instellingen,5922debac15d4a349457ce2f:Regenten,5922debbc15d4a349457ce31:Een morele spiegel,5922debbc15d4a349457ce33:In een hooggeplaatste positie,5922debbc15d4a349457ce35:Retorisch-didactische tragedie,5922debbc15d4a349457ce35:Aristotelische tragedie,5922debbc15d4a349457ce37:Uit vijf bedrijven,5922debbc15d4a349457ce3a:Aristoteles,5922debbc15d4a349457ce3c:Personages uit lagere klassen,5922debbc15d4a349457ce41:De klucht was korter
0,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,,0,,,,,,,,,,,,,,0
1,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,,,,
2,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,0,
3,,,1,,,,,,,,,,,0,,,,,,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,
4,,,,,0,,,,,,,,,,0,0,,,,,,,,0,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,
5,,,,,,0,,,,,0,,,,,,,,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,0,,,,,,,,0,,,,,,,
7,,,,,,,,1,,,,,,,,,0,0,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,
8,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,
9,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,0,,,
10,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,0,,
