,5922debac15d4a349457cdd1,5922debac15d4a349457cdd2,5922debac15d4a349457cdd3,5922debac15d4a349457cdd4,5922debac15d4a349457cdd5,5922debac15d4a349457cdd6,5922debac15d4a349457cdd7,5922debac15d4a349457cdd8,5922debac15d4a349457cdd9,5922debac15d4a349457cdda,5922debac15d4a349457cddb,5922debac15d4a349457cddc,5922debac15d4a349457cddd,5922debac15d4a349457cdde,5922debac15d4a349457cddf,5922debac15d4a349457cde0,5922debac15d4a349457cde1,5922debac15d4a349457cde2,5922debac15d4a349457cde3,5922debac15d4a349457cde4,5922debac15d4a349457cde5,5922debac15d4a349457cde6,5922debac15d4a349457cde7,5922debac15d4a349457cde8,5922debac15d4a349457cde9,5922debac15d4a349457cdea,5922debac15d4a349457cdeb,5922debac15d4a349457cdec,5922debac15d4a349457cded,5922debac15d4a349457cdee,5922debac15d4a349457cdef,5922debac15d4a349457cdf0,5922debac15d4a349457cdf1,5922debac15d4a349457cdf2,5922debac15d4a349457cdf3,5922debac15d4a349457cdf4,5922debac15d4a349457cdf5,5922debac15d4a349457cdf6,5922debac15d4a349457cdf7,5922debac15d4a349457cdf8,5922debac15d4a349457cdf9,5922debac15d4a349457cdfa,5922debac15d4a349457cdfb,5922debac15d4a349457cdfc,5922debac15d4a349457cdfd,5922debac15d4a349457cdfe
0,7,7,7,7,7,7,17,17,7,11,7,9,6,6,6,8,6,11,7,6,11,6,6,6,7,6,6,6,6,6,6,6,6,6,7,6,5,5,6,6,6,5,5,5,5,7
1,8,7,7,8,8,7,8,8,8,7,9,8,7,8,7,8,8,8,8,8,8,9,8,9,8,7,8,8,7,6,7,6,6,4,4,5,5,5,5,3,3,3,3,2,2,2
2,8,8,8,8,36,37,36,13,13,8,8,8,9,8,8,8,8,10,8,16,8,10,8,8,10,8,9,13,8,11,8,12,8,7,9,7,7,7,7,7,8,7,12,9,14,7
3,8,142,8,8,134,8,128,20,60,51,9,8,8,17,8,9,9,11,9,9,10,12,9,7,8,7,9,7,10,9,8,13,13,7,8,8,8,7,12,14,7,7,19,18,13,8
4,21,20,7,17,7,7,11,10,8,12,7,7,11,11,7,9,7,10,10,7,7,7,7,7,9,7,7,9,7,9,9,7,7,6,8,6,6,5,5,5,5,4,4,5,5,4
5,7,9,7,7,7,7,9,9,9,14,8,5,9,5,8,10,8,8,8,8,8,8,8,7,7,7,7,7,7,8,8,8,10,8,8,5,5,5,7,10,7,8,8,8,7,7
6,8,8,8,7,7,7,11,9,10,8,8,8,8,8,8,11,11,8,9,7,11,7,7,7,10,8,10,8,8,7,8,9,9,7,10,7,7,7,7,7,9,7,12,8,8,7
7,8,8,7,7,8,7,8,14,13,7,8,8,9,18,7,7,7,7,7,15,18,10,7,8,13,6,8,8,10,7,6,7,8,6,8,10,7,7,9,9,5,6,6,6,7,5
8,7,8,7,8,7,7,12,13,18,9,9,7,8,8,7,12,7,8,7,8,9,11,11,7,9,7,13,13,12,10,11,8,10,6,10,6,7,5,6,6,5,4,5,3,4,3
9,7,8,7,8,7,7,11,8,8,7,8,6,7,5,5,6,6,7,6,10,6,11,5,6,5,5,6,7,6,6,6,6,6,5,5,5,5,5,5,5,6,6,5,6,10,5
10,8,8,7,8,8,7,8,8,7,6,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,6,6,7,6,7,7,7,7,7,7,6,6,7,7,6,7,9,7,7,7,6
11,7,7,7,7,7,7,8,10,7,8,10,8,7,13,7,11,7,8,8,8,12,8,8,8,7,7,7,7,8,7,9,8,9,7,9,9,8,8,8,8,7,7,10,8,11,8
