,5922debac15d4a349457cd08,5922debac15d4a349457cd09,5922debac15d4a349457cd0a,5922debac15d4a349457cd0b,5922debac15d4a349457cd0c,5922debac15d4a349457cd0d,5922debac15d4a349457cd0e,5922debac15d4a349457cd0f,5922debac15d4a349457cd10,5922debac15d4a349457cd11,5922debac15d4a349457cd12,5922debac15d4a349457cd13,5922debac15d4a349457cd14,5922debac15d4a349457cd15,5922debac15d4a349457cd17,5922debac15d4a349457cd1a,5922debac15d4a349457cd1b,5922debac15d4a349457cd1c,5922debac15d4a349457cd1d,5922debac15d4a349457cd1e,5922debac15d4a349457cd1f,5922debac15d4a349457cd20,5922debac15d4a349457cd21,5922debac15d4a349457cd22,5922debac15d4a349457cd23,5922debac15d4a349457cd24,5922debac15d4a349457cd25,5922debac15d4a349457cd26,5922debac15d4a349457cd27,5922debac15d4a349457cd28,5922debac15d4a349457cd29,5922debac15d4a349457cd2a,5922debac15d4a349457cd2b,5922debac15d4a349457cd2c,5922debac15d4a349457cd2d,5922debac15d4a349457cd2e,5922debac15d4a349457cd2f,5922debac15d4a349457cd30,5922debac15d4a349457cd31,5922debac15d4a349457cd32,5922debac15d4a349457cd33,5922debac15d4a349457cd34,5922debac15d4a349457cd35,5922debac15d4a349457cd36,5922debac15d4a349457cd37,5922debac15d4a349457cd38,5922debac15d4a349457cd3a,5922debac15d4a349457cd3b,5922debac15d4a349457cd3c,5922debac15d4a349457cd3d
0,1.0,13.0,8.0,8.0,8.0,0.0,8.0,8.0,7.0,8.0,8.0,8.0,13.0,5.0,14.0,8.0,7.0,1.0,13.0,8.0,8.0,9.0,14.0,7.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,12.0,14.0,8.0,14.0,9.0,8.0,0.0,9.0,8.0,9.0,12.0,8.0,8.0,11.0,5.0,8.0,1.0,9.0,10.0
1,0.0,7.0,11.0,6.0,7.0,0.0,7.0,7.0,7.0,15.0,10.0,12.0,14.0,7.0,7.0,7.0,10.0,0.0,7.0,7.0,7.0,7.0,6.0,6.0,15.0,6.0,6.0,10.0,6.0,8.0,7.0,5.0,11.0,5.0,9.0,10.0,9.0,0.0,5.0,5.0,6.0,9.0,6.0,3.0,2.0,0.0,2.0,0.0,2.0,3.0
2,1.0,78.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,74.0,8.0,7.0,5.0,7.0,8.0,7.0,0.0,13.0,8.0,8.0,8.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,6.0,7.0,0.0,7.0,7.0,7.0,7.0,14.0,7.0,5.0,0.0,5.0,0.0,5.0,5.0
3,0.0,6.0,11.0,7.0,7.0,0.0,7.0,6.0,7.0,8.0,8.0,7.0,11.0,5.0,7.0,6.0,7.0,4.0,10.0,7.0,8.0,11.0,8.0,10.0,8.0,7.0,6.0,6.0,5.0,6.0,12.0,9.0,6.0,11.0,9.0,8.0,9.0,0.0,6.0,14.0,9.0,14.0,9.0,9.0,9.0,1.0,6.0,0.0,10.0,9.0
4,0.0,7.0,7.0,7.0,7.0,0.0,7.0,7.0,7.0,7.0,8.0,8.0,7.0,5.0,8.0,7.0,8.0,0.0,8.0,8.0,7.0,8.0,9.0,8.0,7.0,7.0,7.0,8.0,6.0,7.0,7.0,7.0,16.0,7.0,7.0,7.0,9.0,0.0,10.0,7.0,6.0,12.0,15.0,9.0,7.0,5.0,6.0,0.0,5.0,8.0
5,0.0,52.0,7.0,7.0,7.0,0.0,50.0,7.0,43.0,8.0,8.0,8.0,14.0,0.0,10.0,7.0,8.0,5.0,8.0,7.0,5.0,10.0,7.0,7.0,9.0,8.0,7.0,8.0,6.0,10.0,10.0,7.0,8.0,10.0,6.0,9.0,11.0,0.0,9.0,9.0,9.0,5.0,8.0,5.0,6.0,0.0,5.0,5.0,4.0,6.0
6,7.0,18.0,14.0,8.0,8.0,5.0,19.0,7.0,8.0,18.0,9.0,8.0,8.0,3.0,12.0,7.0,9.0,0.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,10.0,9.0,18.0,11.0,14.0,9.0,8.0,3.0,10.0,10.0,8.0,14.0,17.0,12.0,14.0,6.0,9.0,0.0,9.0,11.0
7,1.0,8.0,15.0,8.0,8.0,0.0,7.0,8.0,8.0,8.0,8.0,8.0,13.0,19.0,15.0,7.0,6.0,8.0,7.0,6.0,7.0,11.0,7.0,7.0,8.0,8.0,7.0,10.0,8.0,7.0,8.0,7.0,8.0,8.0,7.0,9.0,7.0,1.0,7.0,7.0,9.0,6.0,12.0,5.0,6.0,2.0,5.0,0.0,8.0,8.0
8,0.0,7.0,7.0,6.0,7.0,0.0,7.0,6.0,7.0,7.0,13.0,7.0,7.0,5.0,8.0,8.0,7.0,0.0,9.0,7.0,7.0,7.0,7.0,8.0,9.0,7.0,7.0,8.0,7.0,7.0,9.0,5.0,11.0,8.0,7.0,6.0,13.0,0.0,9.0,7.0,7.0,10.0,7.0,9.0,6.0,0.0,7.0,0.0,7.0,7.0
9,0.0,7.0,7.0,7.0,8.0,1.0,11.0,5.0,6.0,9.0,7.0,7.0,5.0,4.0,8.0,6.0,8.0,0.0,7.0,5.0,7.0,5.0,6.0,10.0,7.0,7.0,5.0,6.0,5.0,5.0,6.0,7.0,4.0,5.0,4.0,6.0,7.0,0.0,7.0,6.0,4.0,6.0,7.0,6.0,6.0,0.0,5.0,2.0,5.0,4.0
