,5922debac15d4a349457cd08,5922debac15d4a349457cd09,5922debac15d4a349457cd0a,5922debac15d4a349457cd0b,5922debac15d4a349457cd0c,5922debac15d4a349457cd0d,5922debac15d4a349457cd0e,5922debac15d4a349457cd0f,5922debac15d4a349457cd10,5922debac15d4a349457cd11,5922debac15d4a349457cd12,5922debac15d4a349457cd13,5922debac15d4a349457cd14,5922debac15d4a349457cd15,5922debac15d4a349457cd17,5922debac15d4a349457cd1a,5922debac15d4a349457cd1b,5922debac15d4a349457cd1c,5922debac15d4a349457cd1d,5922debac15d4a349457cd1e,5922debac15d4a349457cd1f,5922debac15d4a349457cd20,5922debac15d4a349457cd21,5922debac15d4a349457cd22,5922debac15d4a349457cd23,5922debac15d4a349457cd24,5922debac15d4a349457cd25,5922debac15d4a349457cd26,5922debac15d4a349457cd27,5922debac15d4a349457cd28,5922debac15d4a349457cd29,5922debac15d4a349457cd2a,5922debac15d4a349457cd2b,5922debac15d4a349457cd2c,5922debac15d4a349457cd2d,5922debac15d4a349457cd2e,5922debac15d4a349457cd2f,5922debac15d4a349457cd30,5922debac15d4a349457cd31,5922debac15d4a349457cd32,5922debac15d4a349457cd33,5922debac15d4a349457cd34,5922debac15d4a349457cd35,5922debac15d4a349457cd36,5922debac15d4a349457cd37,5922debac15d4a349457cd38,5922debac15d4a349457cd3a,5922debac15d4a349457cd3b,5922debac15d4a349457cd3c,5922debac15d4a349457cd3d,5922debac15d4a349457cd3e
0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,17.0,17.0,17.0,17.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,6.0,11.0,7.0,7.0,6.0,6.0,11.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,5.0,5.0,5.0,7.0,7.0
1,8.0,8.0,7.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,7.0,8.0,8.0,7.0,7.0,6.0,7.0,7.0,6.0,6.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0
2,8.0,8.0,8.0,8.0,8.0,36.0,36.0,37.0,36.0,13.0,36.0,13.0,13.0,13.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,8.0,8.0,16.0,16.0,8.0,10.0,8.0,8.0,10.0,8.0,9.0,13.0,8.0,8.0,11.0,8.0,8.0,12.0,8.0,7.0,9.0,7.0,7.0,7.0,9.0,9.0
3,8.0,8.0,139.0,8.0,8.0,134.0,134.0,8.0,128.0,20.0,128.0,20.0,60.0,60.0,9.0,8.0,17.0,17.0,17.0,17.0,17.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0,10.0,12.0,9.0,7.0,8.0,7.0,9.0,7.0,10.0,10.0,9.0,8.0,8.0,11.0,13.0,7.0,8.0,8.0,7.0,7.0,8.0,8.0
4,21.0,21.0,20.0,7.0,17.0,7.0,7.0,7.0,11.0,10.0,11.0,10.0,8.0,8.0,7.0,7.0,11.0,11.0,11.0,11.0,11.0,9.0,9.0,7.0,10.0,10.0,10.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,9.0,7.0,7.0,9.0,9.0,9.0,7.0,7.0,6.0,8.0,6.0,5.0,5.0,8.0,8.0
5,7.0,7.0,9.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,10.0,8.0,8.0,5.0,5.0,5.0,8.0,8.0
6,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,11.0,9.0,11.0,9.0,10.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,11.0,11.0,11.0,8.0,9.0,9.0,7.0,7.0,11.0,7.0,7.0,7.0,10.0,8.0,10.0,8.0,8.0,8.0,7.0,8.0,8.0,9.0,9.0,7.0,10.0,7.0,7.0,7.0,10.0,10.0
7,8.0,8.0,8.0,7.0,7.0,8.0,8.0,7.0,8.0,14.0,8.0,14.0,13.0,13.0,8.0,7.0,18.0,18.0,18.0,18.0,18.0,7.0,7.0,7.0,7.0,7.0,7.0,15.0,15.0,18.0,10.0,7.0,8.0,13.0,6.0,8.0,8.0,10.0,10.0,7.0,6.0,6.0,7.0,8.0,6.0,8.0,7.0,7.0,7.0,8.0,8.0
8,7.0,7.0,8.0,7.0,8.0,7.0,7.0,7.0,12.0,13.0,12.0,13.0,18.0,18.0,9.0,7.0,8.0,8.0,8.0,8.0,8.0,12.0,12.0,7.0,8.0,7.0,7.0,8.0,8.0,9.0,11.0,11.0,7.0,9.0,7.0,13.0,13.0,12.0,12.0,10.0,11.0,11.0,8.0,10.0,6.0,10.0,7.0,5.0,5.0,10.0,10.0
9,7.0,7.0,8.0,7.0,8.0,7.0,7.0,7.0,11.0,8.0,11.0,8.0,8.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,6.0,6.0,10.0,10.0,6.0,11.0,5.0,6.0,5.0,5.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
