,5922debac15d4a349457cdd1,5922debac15d4a349457cdd2,5922debac15d4a349457cdd3,5922debac15d4a349457cdd4,5922debac15d4a349457cdd5,5922debac15d4a349457cdd6,5922debac15d4a349457cdd7,5922debac15d4a349457cdd8,5922debac15d4a349457cdd9,5922debac15d4a349457cdda,5922debac15d4a349457cddb,5922debac15d4a349457cddc,5922debac15d4a349457cddd,5922debac15d4a349457cdde,5922debac15d4a349457cddf,5922debac15d4a349457cde0,5922debac15d4a349457cde1,5922debac15d4a349457cde2,5922debac15d4a349457cde3,5922debac15d4a349457cde4,5922debac15d4a349457cde5,5922debac15d4a349457cde6,5922debac15d4a349457cde7,5922debac15d4a349457cde8,5922debac15d4a349457cde9,5922debac15d4a349457cdea,5922debac15d4a349457cdeb,5922debac15d4a349457cdec,5922debac15d4a349457cded,5922debac15d4a349457cdee,5922debac15d4a349457cdef,5922debac15d4a349457cdf0,5922debac15d4a349457cdf1,5922debac15d4a349457cdf2,5922debac15d4a349457cdf3,5922debac15d4a349457cdf4,5922debac15d4a349457cdf5,5922debac15d4a349457cdf6,5922debac15d4a349457cdf7,5922debac15d4a349457cdf8,5922debac15d4a349457cdf9,5922debac15d4a349457cdfa,5922debac15d4a349457cdfb,5922debac15d4a349457cdfc,5922debac15d4a349457cdfd,5922debac15d4a349457cdfe
0,1.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,0.8235294117647058,1.0,0.9090909090909091,1.0,0.8888888888888888,1.0,1.0,1.0,0.875,1.0,0.8181818181818182,0.8571428571428571,1.0,0.9090909090909091,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,0.8,0.7142857142857143
1,0.875,1.0,1.0,0.875,0.875,1.0,0.875,0.875,0.875,1.0,0.7777777777777778,0.875,1.0,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.7777777777777778,0.875,0.7777777777777778,0.875,1.0,0.875,0.875,0.8571428571428571,1.0,0.8571428571428571,0.8333333333333334,0.8333333333333334,1.0,1.0,0.8,0.8,0.8,0.8,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,0.9722222222222222,0.972972972972973,0.9722222222222222,0.9230769230769231,0.7692307692307693,0.875,0.875,0.875,0.7777777777777778,0.875,0.875,0.875,0.875,0.7,0.875,0.6875,0.875,0.7,0.875,0.875,0.7,1.0,0.8888888888888888,0.6153846153846154,0.875,0.7272727272727273,0.875,0.8333333333333334,0.875,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,0.75,0.8571428571428571,0.6666666666666666,0.6666666666666666,0.7857142857142857,0.8571428571428571
3,1.0,0.9928057553956835,1.0,1.0,0.9925373134328358,1.0,0.9921875,0.9,0.9833333333333333,0.9803921568627451,1.0,1.0,1.0,0.9411764705882353,1.0,0.8888888888888888,0.8888888888888888,0.8181818181818182,0.8888888888888888,0.8888888888888888,0.9,0.6666666666666666,0.8888888888888888,1.0,0.875,1.0,0.8888888888888888,1.0,0.8,0.7777777777777778,0.875,0.5454545454545454,0.8461538461538461,1.0,0.875,0.875,0.875,1.0,0.8333333333333334,0.6923076923076923,1.0,1.0,0.7368421052631579,0.6470588235294118,0.6923076923076923,0.875
4,0.9523809523809523,0.95,1.0,0.9411764705882353,1.0,1.0,0.9090909090909091,0.9,0.875,0.8333333333333334,1.0,1.0,0.8181818181818182,0.8181818181818182,1.0,0.7777777777777778,1.0,0.8,0.8,1.0,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7777777777777778,1.0,0.8571428571428571,0.7777777777777778,0.8571428571428571,0.7777777777777778,0.8888888888888888,0.8571428571428571,0.8571428571428571,0.8333333333333334,0.875,0.8333333333333334,0.8333333333333334,1.0,1.0,0.8,0.8,1.0,1.0,0.8,0.8,1.0
5,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,0.8888888888888888,1.0,0.875,0.625,0.875,0.75,0.875,0.75,0.875,0.625,0.875,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.8571428571428571,0.875,0.875,1.0,0.9,1.0,0.875,1.0,1.0,1.0,0.5714285714285714,0.9,0.8571428571428571,0.75,0.5,0.75,0.7142857142857143,0.8571428571428571
6,0.875,0.875,0.875,1.0,1.0,1.0,0.8181818181818182,0.8888888888888888,0.8,0.875,0.875,0.875,0.875,0.875,0.875,0.8181818181818182,0.8181818181818182,0.875,0.8888888888888888,1.0,0.9090909090909091,1.0,1.0,1.0,0.7,0.875,0.8,0.875,0.875,0.8571428571428571,0.875,0.7777777777777778,0.6666666666666666,0.8571428571428571,0.6,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.8333333333333334,0.75,0.75,0.8571428571428571
7,0.875,0.875,1.0,1.0,0.875,1.0,0.875,0.6428571428571429,0.7692307692307693,1.0,0.875,0.875,0.7777777777777778,0.6111111111111112,1.0,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7333333333333333,0.6666666666666666,0.8,0.8571428571428571,0.75,0.6153846153846154,1.0,0.875,0.75,0.8,0.8571428571428571,1.0,0.8571428571428571,0.875,1.0,0.75,0.8,0.8571428571428571,0.8571428571428571,0.7777777777777778,0.6666666666666666,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7142857142857143,1.0
8,1.0,0.875,1.0,0.875,1.0,1.0,0.8333333333333334,0.7692307692307693,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.8571428571428571,0.75,0.75,0.8571428571428571,0.75,0.8571428571428571,0.75,0.8571428571428571,0.75,0.7777777777777778,0.8181818181818182,0.8181818181818182,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.7692307692307693,0.6923076923076923,0.75,0.8,0.7272727272727273,0.75,0.4,0.8333333333333334,0.6,0.6666666666666666,0.7142857142857143,0.8,0.6666666666666666,0.5,0.6,0.75,0.6,1.0,0.5,0.6666666666666666
9,1.0,0.875,1.0,0.875,1.0,1.0,0.9090909090909091,0.875,0.875,1.0,0.875,0.8333333333333334,0.7142857142857143,1.0,1.0,0.8333333333333334,0.8333333333333334,0.7142857142857143,0.8333333333333334,0.8,0.8333333333333334,0.7272727272727273,1.0,0.8333333333333334,1.0,1.0,0.8333333333333334,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,0.9,1.0
